,5ggv,6rp8,6rp8,5tru,5xj3,5xj3,5xj3,5xj3,5tru,9dq3,9dq4,7su0,7su0,7su1,8tui,7cgw,7wsl,5ggs,5ggs,5jxe,5b8c,5b8c,5jxe,5b8c,5b8c,5ggr,8gy5,7wvm,7cgw,7cu5,7cu5,7bxa,7bxa,6xkr,7wvm,5ggr,5wt9,6k0y,8gy5,5x8m,5xj4,5xxy,5x8l,5x8l,5x8l,5x8l,5grj,5x8l,6txz,6txz,6txz,6txz
5jxe,44.827586206896555,31.03448275862069,31.03448275862069,31.03448275862069,31.03448275862069,34.48275862068966,31.03448275862069,31.03448275862069,27.586206896551722,27.586206896551722,27.586206896551722,31.03448275862069,34.48275862068966,20.689655172413794,34.48275862068966,37.93103448275862,33.33333333333333,50.0,48.57142857142857,86.20689655172413,79.41176470588235,72.97297297297297,100.0,87.87878787878788,82.85714285714286,31.03448275862069,44.827586206896555,41.37931034482759,41.37931034482759,24.137931034482758,24.137931034482758,31.03448275862069,31.03448275862069,37.5,37.93103448275862,34.48275862068966,37.93103448275862,37.93103448275862,44.827586206896555,24.137931034482758,20.689655172413794,31.03448275862069,27.586206896551722,27.586206896551722,27.586206896551722,27.586206896551722,34.48275862068966,34.48275862068966,31.03448275862069,31.03448275862069,31.03448275862069,31.03448275862069
5b8c,39.39393939393939,30.303030303030305,30.303030303030305,30.303030303030305,30.303030303030305,33.33333333333333,27.27272727272727,33.33333333333333,30.303030303030305,27.27272727272727,27.27272727272727,27.27272727272727,30.303030303030305,18.181818181818183,33.33333333333333,33.33333333333333,33.33333333333333,50.0,48.57142857142857,75.75757575757575,85.29411764705883,75.67567567567568,87.87878787878788,100.0,91.42857142857143,30.303030303030305,39.39393939393939,36.36363636363637,36.36363636363637,21.21212121212121,21.21212121212121,27.27272727272727,27.27272727272727,36.36363636363637,33.33333333333333,30.303030303030305,33.33333333333333,36.36363636363637,39.39393939393939,24.242424242424242,21.21212121212121,30.303030303030305,27.27272727272727,27.27272727272727,27.27272727272727,27.27272727272727,30.303030303030305,33.33333333333333,27.27272727272727,27.27272727272727,27.27272727272727,27.27272727272727
5b8c,37.142857142857146,28.57142857142857,28.57142857142857,28.57142857142857,28.57142857142857,31.428571428571427,25.71428571428571,31.428571428571427,28.57142857142857,25.71428571428571,25.71428571428571,28.57142857142857,28.57142857142857,20.0,31.428571428571427,31.428571428571427,34.285714285714285,48.57142857142857,48.57142857142857,74.28571428571429,85.71428571428571,81.08108108108108,82.85714285714286,91.42857142857143,100.0,31.428571428571427,37.142857142857146,34.285714285714285,34.285714285714285,20.0,20.0,25.71428571428571,25.71428571428571,40.0,31.428571428571427,28.57142857142857,31.428571428571427,37.142857142857146,37.142857142857146,25.71428571428571,22.857142857142858,28.57142857142857,25.71428571428571,25.71428571428571,25.71428571428571,25.71428571428571,31.428571428571427,31.428571428571427,28.57142857142857,28.57142857142857,28.57142857142857,28.57142857142857
5ggr,28.57142857142857,40.0,45.0,40.909090909090914,38.095238095238095,36.36363636363637,42.10526315789473,34.78260869565217,33.33333333333333,28.000000000000004,25.925925925925924,38.095238095238095,37.5,31.57894736842105,36.36363636363637,37.03703703703704,24.242424242424242,35.294117647058826,34.285714285714285,30.76923076923077,29.411764705882355,27.027027027027028,31.03448275862069,30.303030303030305,31.428571428571427,100.0,33.33333333333333,37.5,37.03703703703704,35.294117647058826,35.294117647058826,40.0,35.0,25.0,34.78260869565217,71.42857142857143,57.14285714285714,29.629629629629626,29.166666666666668,27.27272727272727,27.27272727272727,28.57142857142857,25.0,25.0,25.0,26.08695652173913,30.76923076923077,24.0,28.57142857142857,28.57142857142857,28.57142857142857,27.586206896551722
8gy5,32.142857142857146,42.857142857142854,42.857142857142854,45.45454545454545,42.857142857142854,45.45454545454545,42.857142857142854,39.130434782608695,42.857142857142854,28.000000000000004,25.925925925925924,47.61904761904761,41.66666666666667,33.33333333333333,40.909090909090914,33.33333333333333,30.303030303030305,26.47058823529412,25.71428571428571,46.15384615384615,35.294117647058826,32.432432432432435,44.827586206896555,39.39393939393939,37.142857142857146,33.33333333333333,100.0,83.33333333333334,33.33333333333333,23.809523809523807,23.809523809523807,33.33333333333333,33.33333333333333,28.125,82.6086956521739,42.857142857142854,25.0,25.925925925925924,87.5,31.818181818181817,31.818181818181817,28.57142857142857,33.33333333333333,33.33333333333333,25.0,26.08695652173913,34.61538461538461,24.0,25.0,25.0,25.0,24.137931034482758
7wvm,32.142857142857146,41.66666666666667,41.66666666666667,45.83333333333333,45.83333333333333,45.83333333333333,45.83333333333333,45.83333333333333,41.66666666666667,32.0,33.33333333333333,41.66666666666667,45.83333333333333,29.166666666666668,45.83333333333333,40.74074074074074,36.36363636363637,32.35294117647059,28.57142857142857,42.30769230769231,32.35294117647059,29.72972972972973,41.37931034482759,36.36363636363637,34.285714285714285,37.5,83.33333333333334,100.0,40.74074074074074,29.166666666666668,29.166666666666668,37.5,37.5,34.375,95.83333333333334,41.66666666666667,35.714285714285715,29.629629629629626,83.33333333333334,33.33333333333333,33.33333333333333,32.142857142857146,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,42.30769230769231,28.000000000000004,35.714285714285715,35.714285714285715,35.714285714285715,34.48275862068966
7cgw,46.42857142857143,40.74074074074074,40.74074074074074,40.74074074074074,40.74074074074074,40.74074074074074,40.74074074074074,40.74074074074074,40.74074074074074,37.03703703703704,40.74074074074074,37.03703703703704,37.03703703703704,29.629629629629626,40.74074074074074,96.29629629629629,42.42424242424242,44.11764705882353,42.857142857142854,40.74074074074074,35.294117647058826,32.432432432432435,41.37931034482759,36.36363636363637,34.285714285714285,37.03703703703704,33.33333333333333,40.74074074074074,100.0,25.925925925925924,25.925925925925924,74.07407407407408,74.07407407407408,46.875,40.74074074074074,33.33333333333333,39.285714285714285,40.74074074074074,33.33333333333333,29.629629629629626,29.629629629629626,35.714285714285715,37.03703703703704,37.03703703703704,37.03703703703704,37.03703703703704,37.03703703703704,29.629629629629626,35.714285714285715,35.714285714285715,35.714285714285715,34.48275862068966
7cu5,25.0,30.0,30.0,31.818181818181817,28.57142857142857,31.818181818181817,31.57894736842105,26.08695652173913,33.33333333333333,28.000000000000004,25.925925925925924,33.33333333333333,29.166666666666668,26.31578947368421,22.727272727272727,25.925925925925924,27.27272727272727,20.588235294117645,22.857142857142858,26.923076923076923,20.588235294117645,18.91891891891892,24.137931034482758,21.21212121212121,20.0,35.294117647058826,23.809523809523807,29.166666666666668,25.925925925925924,100.0,100.0,25.0,25.0,25.0,30.434782608695656,33.33333333333333,25.0,29.629629629629626,20.833333333333336,22.727272727272727,18.181818181818183,32.142857142857146,37.5,37.5,37.5,39.130434782608695,30.76923076923077,20.0,25.0,25.0,25.0,24.137931034482758
7cu5,25.0,30.0,30.0,31.818181818181817,28.57142857142857,31.818181818181817,31.57894736842105,26.08695652173913,33.33333333333333,28.000000000000004,25.925925925925924,33.33333333333333,29.166666666666668,26.31578947368421,22.727272727272727,25.925925925925924,27.27272727272727,20.588235294117645,22.857142857142858,26.923076923076923,20.588235294117645,18.91891891891892,24.137931034482758,21.21212121212121,20.0,35.294117647058826,23.809523809523807,29.166666666666668,25.925925925925924,100.0,100.0,25.0,25.0,25.0,30.434782608695656,33.33333333333333,25.0,29.629629629629626,20.833333333333336,22.727272727272727,18.181818181818183,32.142857142857146,37.5,37.5,37.5,39.130434782608695,30.76923076923077,20.0,25.0,25.0,25.0,24.137931034482758
7bxa,39.285714285714285,40.0,40.0,36.36363636363637,38.095238095238095,31.818181818181817,40.0,34.78260869565217,38.095238095238095,32.0,29.629629629629626,28.57142857142857,29.166666666666668,30.0,31.818181818181817,74.07407407407408,33.33333333333333,35.294117647058826,34.285714285714285,34.61538461538461,26.47058823529412,27.027027027027028,31.03448275862069,27.27272727272727,25.71428571428571,40.0,33.33333333333333,37.5,74.07407407407408,25.0,25.0,100.0,95.0,31.25,39.130434782608695,33.33333333333333,28.57142857142857,33.33333333333333,29.166666666666668,31.818181818181817,31.818181818181817,25.0,29.166666666666668,29.166666666666668,29.166666666666668,30.434782608695656,26.923076923076923,28.000000000000004,28.57142857142857,28.57142857142857,28.57142857142857,27.586206896551722
